Reference,Value,Datasheet,Footprint,Qty,supplier,code,cost per item,cost,link
"R1,R2,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41",470,~,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,32,farnell,2074472,0.0084,0.2688,https://uk.farnell.com/multicomp-pro/mcsr08x471-jtl/res-470r-5-0-125w-0805-thick-film/dp/2074472
,,,,,,,,,
,,,,,,,,46.5783,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,"note: bom includes components for both PCBs, so the references are not complete",,,,,,
